DATE,QUANTITY,CODECONTENT
2025-04-12 07:11:40 -0400,3,9787516142332
2025-04-12 06:42:10 -0400,2,9787516810040
2025-04-11 23:36:02 -0400,2,9787516820759
2025-04-12 06:01:01 -0400,2,9787518068241
2025-04-12 05:46:44 -0400,1,9787519264109
2025-04-11 23:27:21 -0400,1,9787520128780
2025-04-12 06:49:19 -0400,2,9787520142625
2025-04-11 23:35:19 -0400,1,9787520145930
2025-04-12 05:51:11 -0400,2,9787520164719
2025-03-05 20:48:28 -0500,1,9787520167666
2025-04-12 05:49:54 -0400,2,9787520712507
2025-03-05 00:33:11 -0500,1,9787521207088
2025-03-05 00:43:06 -0500,1,9787521215182
2025-03-05 20:23:13 -0500,1,9787521215885
2025-03-05 01:03:31 -0500,2,9787521223385
2025-03-03 00:02:01 -0500,2,9787521323863
2025-03-03 00:30:14 -0500,2,9787521340983
2025-04-12 05:18:37 -0400,1,9787521702996
2025-03-05 00:58:50 -0500,1,9787521703665
2025-04-12 06:22:00 -0400,6,9787521703955
2025-04-12 05:23:19 -0400,1,9787521704167
2025-03-03 00:04:31 -0500,1,9787521704280
2025-03-05 20:00:46 -0500,2,9787521704471
2025-04-12 06:26:21 -0400,1,9787521710250
2025-04-12 06:52:23 -0400,2,9787521710557
2025-03-05 19:54:11 -0500,1,9787521710571
2025-03-03 00:23:57 -0500,4,9787521712391
2025-03-05 18:42:59 -0500,1,9787521713756
2025-03-05 20:23:59 -0500,1,9787521715491
2025-03-05 20:27:11 -0500,1,9787521718089
2025-03-05 01:01:57 -0500,1,9787521722123
2025-04-12 05:58:21 -0400,1,9787521722994
2025-03-05 01:42:53 -0500,2,9787521725353
2025-03-05 01:03:17 -0500,1,9787521732962
2025-04-12 05:13:25 -0400,1,9787521735024
2025-04-12 05:17:34 -0400,2,9787521736779
2025-04-12 05:55:31 -0400,1,9787521739336
2025-03-03 00:10:01 -0500,1,9787521739824
2025-04-12 05:13:34 -0400,1,9787521740806
2025-03-05 00:30:05 -0500,1,9787521741230
2025-03-05 19:17:02 -0500,1,9787521743883
2025-03-05 01:33:13 -0500,1,9787521749731
2025-03-02 23:57:57 -0500,1,9787521754896
2025-03-05 01:00:08 -0500,1,9787521758757
2025-04-12 05:48:00 -0400,1,9787522505169
2025-03-05 01:02:17 -0500,1,9787530219478
2025-03-05 00:48:16 -0500,1,9787530219850
2025-03-05 01:07:50 -0500,1,9787530221174
2025-03-05 01:48:45 -0500,1,9787530221280
2025-03-05 19:31:12 -0500,1,9787530222294
2025-03-05 00:48:12 -0500,2,9787530678787
2025-03-05 00:51:37 -0500,1,9787530678886
2025-03-03 00:24:59 -0500,4,9787530751152
2025-04-12 07:11:20 -0400,1,9787531728979
2025-04-12 07:01:53 -0400,1,9787531728986
2025-04-12 07:12:22 -0400,1,9787531730354
2025-04-12 06:46:58 -0400,2,9787531757573
2025-03-05 00:42:48 -0500,1,9787532163465
2025-04-11 23:38:40 -0400,3,9787532174331
2025-03-05 00:43:43 -0500,2,9787532177677
2025-03-05 01:07:18 -0500,2,9787532178094
2025-04-12 05:39:38 -0400,1,9787532179084
2025-04-11 23:36:59 -0400,1,9787532179251
